"Unique.Code","Date","Time","Species","Count","Origin","ox","oy","Destination","dx","dy","Comments"
"NH_JN_161216_MO15","16/12/2016","","DN","23","H76",472327.50852231,104166.97179855,"H73A",471627.28181909,103746.15072104,""
"NH_JN_161216_MO16","16/12/2016","","GV","45","H76",472327.50852231,104166.97179855,"H70",470148.51647097,104094.00639233,""
"NH_JN_161216_MO18","16/12/2016","","CU","1","H76",472327.50852231,104166.97179855,"H70",470148.51647097,104094.00639233,""
"NH_JN_161216_MO21","16/12/2016","","DN","180","H76",472327.50852231,104166.97179855,"H73A",471627.28181909,103746.15072104,"Same as MO16"
"NH_JN_161216_MO22","16/12/2016","","DN","155","H76",472327.50852231,104166.97179855,"H73B",471361.56283807,103537.71325255,"Like MO4 but backward"
"NH_JN_161216_MO25","16/12/2016","","DN","1700","H73A",471627.28181909,103746.15072104,"H73B",471361.56283807,103537.71325255,"original roost"
"NH_JN_161216_MO26","16/12/2016","","DN","350","H76",472327.50852231,104166.97179855,"H73A",471627.28181909,103746.15072104,"same as MO16"
"NH_JN_161216_MO27","16/12/2016","","OC","7","H76",472327.50852231,104166.97179855,"H70",470148.51647097,104094.00639233,"same as MO17"
"NH_JN_161216_MO29","16/12/2016","","CU","6","H76",472327.50852231,104166.97179855,"H73A",471627.28181909,103746.15072104,"same as MO16"
"NH_JN_211116_MO4","21/12/2016","13:45","DB","13","Baybybridge",471894.591933223,103950.093142225,"Bayatnorthofbridge",472336.10472408,105217.028109631,""
"NH_JN_211116_MO6","21/12/2016","14:15","DB","3","BayatSouthofBridge",471865.797989924,103969.2892552,"Bayatnorthofbridge",472268.918659188,105207.430348901,"Same route as MO4"
"NH_JN_211116_MO10","21/12/2016","15:13","DB","2","H73A",471627.28181909,103746.15072104,"BayNorthofBridge",472480.074718961,105197.831579079,""
"NH_JN_211116_MO14","21/12/2016","","CU","9","H73A",471627.28181909,103746.15072104,"H70",470148.51647097,104094.00639233,""
"NH_JN_211116_MO15","21/12/2016","","RK","19","H73A",471627.28181909,103746.15072104,"H76",472327.50852231,104166.97179855,""
"NH_JN_190117_MO1","19/01/17","13:10","DN","3","H73A",471627.28181909,103746.15072104,"H76",472327.50852231,104166.97179855,""
"NH_JN_190117_MO3","19/01/17","14:50","DN","60","H73A",471627.28181909,103746.15072104,"H76",472327.50852231,104166.97179855,"same as MO1"
"NH_JN_190117_MO4","19/01/17","14:50","DN","70","nocodebaybybridge",471654.641860618,103959.692016295,"H76",472327.50852231,104166.97179855,"joined flock MO3 as it arrived over sea wall"
"NH_JN_190117_MO1","19/01/17","10:16","DN","70","H73B",471361.56283807,103537.71325255,"H73B",471361.56283807,103537.71325255,"arrived from east"
"NH_JN_190117_MO2","19/01/17","11:02","RK","1","H76",472327.50852231,104166.97179855,"baywestofbridge",471865.798233485,104036.475285306,""
"NH_JN_190117_MO3","19/01/17","11:15","DN","7","baywestofbridge",471865.797989924,103969.2892552,"H76",472327.50852231,104166.97179855,""
"NH_JN_190117_MO5","19/01/17","11:37","DN","52","baywestofbridge",471980.974041471,103969.288837704,"H76",472327.50852231,104166.97179855,"joined with MO4"
"NH_JN_190117_MO6","19/01/17","11:37","RK","3","baywestofbridge",471923.385998301,103964.490044304,"H76",472327.50852231,104166.97179855,"same as MO5"
"NH_JN_140217_MO2","14/02/2017","09:57","DB","7","H70",470148.51647097,104094.00639233,"H28C",471258.15992527,104858.68836398,""
"NH_JN_140217_MO3","14/02/2017","10:27","DB","4","H28C",471258.15992527,104858.68836398,"H73A",471627.28181909,103746.15072104,""
"NH_JN_140217_MO4","14/02/2017","10:33","DB","4","H28C",471258.15992527,104858.68836398,"H73A",471627.28181909,103746.15072104,""
"NH_JN_140217_MO5","14/02/2017","10:40","DB","20","H73B",471361.56283807,103537.71325255,"baywestofbridge",471705.034088462,104705.936668173,""
"NH_JN_140217_MO6","14/02/2017","10:40","DB","28","H73B",471361.56283807,103537.71325255,"H73B",471361.56283807,103537.71325255,""
"NH_JN_140217_MO7","14/02/2017","11:30","RK","18","baywestofbridge",470176.549685718,104094.069433877,"H76",472327.50852231,104166.97179855,""
"NH_JN_140217_MO8","14/02/2017","11:59","DB","5","H70",470148.51647097,104094.00639233,"H73B",471361.56283807,103537.71325255,""
"NH_JN_140217_MO9","14/02/2017","12:06","OC","8","H28C",471258.15992527,104858.68836398,"H73B",471361.56283807,103537.71325255,""
"NH_JN_140217_MO10","14/02/2017","12:13","OC","3","H28C",471258.15992527,104858.68836398,"H73B",471361.56283807,103537.71325255,""
"NH_JN_140217_MO11","14/02/2017","12:13","TT","3","H28C",471258.15992527,104858.68836398,"H73B",471361.56283807,103537.71325255,""
"NH_JN_140217_MO12","14/02/2017","12:30","DB","30","baywestofbridge",471030.774990977,104900.298699464,"H73B",471361.56283807,103537.71325255,""
"NH_JN_140217_MO13","14/02/2017","12:31","DN","1000","H72",469900.68411626,103188.19509045,"H73B",471361.56283807,103537.71325255,"Mixed flock also included Grey Plover"
"NH_JN_140217_MO14","14/02/2017","12:35","DN","400","H28C",471258.15992527,104858.68836398,"H73B",471361.56283807,103537.71325255,"Same as MO9"
"NH_JN_140217_MO15","14/02/2017","12:42","DN","350","H28C",471258.15992527,104858.68836398,"H73B",471361.56283807,103537.71325255,"Same as Mo9"
"16_DS_140217_MO1","14/02/2017","11:10","SU","11","Donmap",468906.17834589,103253.940719604,"P10I",468700.88757511,103830.84924908,"The deeps"
"16_DS_140217_MO2","14/02/2017","11:20","DN","400","Eonmap",469037.586933072,104112.456019889,"P73",468279.54646078,103393.89124735,"Movement in 2 flocks"
"16_DS_140217_MO3","14/02/2017","11:20","DB","135","P11",467506.6530882,103011.14040931,"P10H",468276.53715399,104155.78272363,"To main lake"
"16_DS_140217_MO4","14/02/2017","11:24","DN","2500","Conmap",468078.321847825,102702.040720083,"Bonmap",468073.945030093,103630.639432992,"Steady movement northwards from mud south of P73 to mud north of P73"
"16_DS_140217_MO5","14/02/2017","11:25","PT","38","P10I",468700.88757511,103830.84924908,"Donmap",468906.178742721,103363.445282914,""
"16_DS_140217_MO6","14/02/2017","11:25","CU","14","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,"Steady movement "
"16_DS_140217_MO7","14/02/2017","11:40","DB","200","P10H",468276.53715399,104155.78272363,"P11",467506.6530882,103011.14040931,"From main lake"
"16_DS_140217_MO8","14/02/2017","11:40","L.","46","Aonmap",467679.730094183,104042.378019609,"P10H",468276.53715399,104155.78272363,"Moved to main lake from mud flat"
"16_DS_140217_MO9","14/02/2017","11:50","DN","200","Aonmap",467727.912356,104112.460765592,"Bonmap",467925.01901448,103683.202163006,""
"16_DS_140217_MO10","14/02/2017","11:52","DN","1800","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,"Mixed flock but mainly Dunlin"
"16_DS_140217_MO11","14/02/2017","11:53","DN","400","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,""""""
"16_DS_140217_MO12","14/02/2017","11:53","DN","1300","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,""""""
"16_DS_140217_MO13","14/02/2017","11:55","DN","2000","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,""""""
"16_DS_140217_MO14","14/02/2017","11:57","DN","300","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,""""""
"16_DS_140217_MO15","14/02/2017","12:05","DN","2600","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,""""""
"16_DS_140217_MO16","14/02/2017","12:15","DN","1400","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,""""""
"16_DS_140217_MO17","14/02/2017","12:25","DB","72","P10H",468276.53715399,104155.78272363,"P08A",467792.93977895,104694.73581295,""
"16_DS_140217_MO18","14/02/2017","12:30","AV","46","Aonmap",467679.730300522,104099.320392567,"P10H",468276.53715399,104155.78272363,"Moved to main lake from mud flat"
"16_DS_140317_MO1","14/03/2017","08:50","DB","27","Aonmap",467734.140152257,104036.35507148,"P10H",468276.53715399,104155.78272363,"Flew from mud at A to main lake"
"16_DS_140317_MO2","14/03/2017","09:15","SU","23","P10I",468700.88757511,103830.84924908,"Bonmap",469166.458030493,103537.009072611,"The deeps to feed on mud"
"16_DS_140317_MO3","14/03/2017","09:15","SV","12","P10I",468700.88757511,103830.84924908,"H71",469508.7888797,103555.7724845,""""
"16_DS_140317_MO5","14/03/2017","09:55","DN","30","P73",468279.54646078,103393.89124735,"Bonmap",468831.375273318,103869.904159351," "
"16_DS_140317_MO6","14/03/2017","10:30","CU","4","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,"Moved in singles"
"16_DS_140317_MO7","14/03/2017","10:43","DB","22","P73",468279.54646078,103393.89124735,"P10I",468700.88757511,103830.84924908,"flew to the deeps"
"16_DS_140317_MO8","14/03/2017","10:43","SU","9","P73",468279.54646078,103393.89124735,"P10I",468700.88757511,103830.84924908,"flew to the deeps"
"16_DS_140317_MO9","14/03/2017","10:47","WN","300","P10I",468700.88757511,103830.84924908,"Bonmap",469142.366963082,103519.488429777,"Flushed by Heron. Flew to settle on channel at B on map"
"16_DS_140317_MO10","14/03/2017","10:47","DB","65","P10I",468700.88757511,103830.84924908,"Bonmap",469151.127526566,103574.240679691,""""
"16_DS_140317_MO11","14/03/2017","10:50","CU","1","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845,""
"16_DS_270317_MO3","27/03/2017","09:35","CU","1","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845," "
"16_DS_270317_MO4","27/03/2017","09:50","DB","55","Donmap",NA,NA,"P10H",468276.53715399,104155.78272363,"Flew to main lake"
"16_DS_270317_MO5","27/03/2017","09:50","DB","12","Donmap",NA,NA,"P10I",468700.88757511,103830.84924908,"Flew to The Deeps"
"16_DS_270317_MO6","27/03/2017","09:50","CU","1","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845," "
"16_DS_270317_MO7","27/03/2017","10:10","CU","2","P73",468279.54646078,103393.89124735,"H71",469508.7888797,103555.7724845," "
"6_DS_211016_MO13","21/10/2016",NA,"L","12","6_DS_211016_SC16",473656.489774454,104213.183476013,"6_DS_211016_SC17",473200.950474138,104125.581476988,""
"13_CL_211016_MO3","21/10/2016",NA,"DB","30","Eastof6_CL_211016_SC02",471174.744411803,104722.735097943,"13_CL_211016_SC08",471683.438709274,104741.929262597,""
"13_CL_211016_MO7","21/10/2016",NA,"DB","70","Harbour",470205.337245766,102313.639531371,"13_CL_211016_SC08",471597.056600991,104722.733567119,""
"13_CL_211016_MO8","21/10/2016",NA,"DB","40","Harbour",470330.111127669,102265.649057724,"13_CL_211016_SC01",470848.412926644,104905.098362633,""
"13_CL_211016_MO9","21/10/2016",NA,"DN","120","Harbour",470502.875135385,102246.452423064,"13_CL_211016_SC08",471625.850544298,104703.537454133,""
"13_CL_211016_MO10","21/10/2016",NA,"DB","390","13_CL_211016_SC11",471117.156177239,104665.147280853,"H90",470753.78717115,105416.39866674,"Disturbed and dropped into either site, later located roosting in H90."
"10_LM_311016_MO3","31/10/2016","13:54","DB","15","SA02",467580.272291445,99338.2677091587,"SA01",467897.008936356,100029.322871301,""
"1459","13/01/2017","10:51","Brent Goose (Dark-bellied)","63","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1460","13/01/2017","10:54","Brent Goose (Dark-bellied)","63","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1461","13/01/2017","11:08","Brent Goose (Dark-bellied)","63","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1511","03/02/2017","14:39","Brent Goose (Dark-bellied)","47","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1520","03/02/2017","15:09","Brent Goose (Dark-bellied)","47","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1521","03/02/2017","15:37","Brent Goose (Dark-bellied)","47","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1462","13/01/2017","11:08","Curlew","35","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1464","13/01/2017","11:20","Curlew","35","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1512","03/02/2017","14:39","Curlew","28","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1522","03/02/2017","15:37","Curlew","58","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1466","13/01/2017","11:20","Golden Plover","83","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1524","03/02/2017","15:37","Golden Plover","370","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1465","13/01/2017","11:20","Lapwing","175","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"1523","03/02/2017","15:37","Lapwing","110","C10B",476434.93231615,101650.14697689,"C10B",476434.93231615,101650.14697689,NA
"CM_NEW_163","09/11/2016","08:28","Brent Goose (Dark-bellied)","15","C10F",475726.82052421,104264.92673192,"C10F",475726.82052421,104264.92673192,NA
"CM_NEW_149","09/11/2016","07:15","Brent Goose (Dark-bellied)","20","C10F",475726.82052421,104264.92673192,"C10F",475726.82052421,104264.92673192,NA
"2316","13/02/2017","13:47","Brent Goose (Dark-bellied)","200","C10M",475462.80986393,103694.81886931,"C10F",475726.82052421,104264.92673192,NA
"2318","13/02/2017","14:06","Brent Goose (Dark-bellied)","1100","C10M",475462.80986393,103694.81886931,"C10F",475726.82052421,104264.92673192,NA
"2323","13/02/2017","14:15","Curlew","36","C10M",475462.80986393,103694.81886931,"C10F",475726.82052421,104264.92673192,NA
"2312","13/02/2017","13:24","Brent Goose (Dark-bellied)","1050","C25",475171.68449755,103735.13734197,"C10F",475726.82052421,104264.92673192,NA
"2320","13/02/2017","14:15","Brent Goose (Dark-bellied)","1050","C25",475171.68449755,103735.13734197,"C10F",475726.82052421,104264.92673192,NA
"2322","13/02/2017","14:15","Lapwing","200","C25",475171.68449755,103735.13734197,"C10F",475726.82052421,104264.92673192,NA
"1479","13/01/2017","13:30","Brent Goose (Dark-bellied)","31","C25",475171.68449755,103735.13734197,"C10F",475726.82052421,104264.92673192,NA
"CM_NEW_43","31/10/2016","11:30","Lapwing","4","C42",475327.42480665,105305.0338858,"C10F",475726.82052421,104264.92673192,NA
"CM_NEW_45","31/10/2016","11:59","Redshank","3","C42",475327.42480665,105305.0338858,"C10F",475726.82052421,104264.92673192,NA
"CM_NEW_24","31/10/2016","11:59","Redshank","3","Chichester Harbour - 20429",NA,NA,"C10F",475726.82052421,104264.92673192,NA
"CM_NEW_148","09/11/2016","07:10","Brent Goose (Dark-bellied)","30","Chichester Harbour - 20423",NA,NA,"C10F",475726.82052421,104264.92673192,NA
"CM_NEW_150","09/11/2016","07:17","Brent Goose (Dark-bellied)","8","Chichester Harbour - 20423",NA,NA,"C10F",475726.82052421,104264.92673192,NA
"CM_NEW_151","09/11/2016","07:20","Brent Goose (Dark-bellied)","8","Chichester Harbour - 20423",NA,NA,"C10F",475726.82052421,104264.92673192,NA
"2338","03/03/2017","14:28","Brent Goose (Dark-bellied)","85","Chichester Harbour - 20430",NA,NA,"C10F",475726.82052421,104264.92673192,NA
"2356","03/03/2017","15:06","Brent Goose (Dark-bellied)","53","Chichester Harbour - 20430",NA,NA,"C10F",475726.82052421,104264.92673192,NA
"2319","13/02/2017","14:06","Lapwing","200","C10M",475462.80986393,103694.81886931,"C10M",475462.80986393,103694.81886931,NA
"1531","09/02/2017","10:28","Brent Goose (Dark-bellied)","99","C12",475782.58716075,102346.86812127,"C12",475782.58716075,102346.86812127,NA
"1532","09/02/2017","10:30","Brent Goose (Dark-bellied)","99","C12",475782.58716075,102346.86812127,"C12",475782.58716075,102346.86812127,NA
"","19/01/2017","13:17","Brent Goose (Dark-bellied)","700","C1E",477097.03640181,98222.69538327,"C1E",477097.03640181,98222.69538327,NA
"","19/01/2017","13:17","Brent Goose (Dark-bellied)","460","C1E",477097.03640181,98222.69538327,"C1E",477097.03640181,98222.69538327,NA
"","19/01/2017","14:05","Brent Goose (Dark-bellied)","955","C1E",477097.03640181,98222.69538327,"C1E",477097.03640181,98222.69538327,NA
"1927","09/02/2017","09:20","Brent Goose (Dark-bellied)","600","C1E",477097.03640181,98222.69538327,"C1E",477097.03640181,98222.69538327,NA
"1472","13/01/2017","13:00","Brent Goose (Dark-bellied)","75","C25",475171.68449755,103735.13734197,"C25",475171.68449755,103735.13734197,NA
"1473","13/01/2017","13:08","Brent Goose (Dark-bellied)","300","C25",475171.68449755,103735.13734197,"C25",475171.68449755,103735.13734197,NA
"1474","13/01/2017","13:11","Brent Goose (Dark-bellied)","30","C25",475171.68449755,103735.13734197,"C25",475171.68449755,103735.13734197,NA
"CM_NEW_199","09/11/2016","10:56","Brent Goose (Dark-bellied)","1","Chichester Harbour - 20423",NA,NA,"C25",475171.68449755,103735.13734197,NA
"759","25/01/2017","10:05","Lapwing","250","C33",474901.1280573,103656.52986518,"C33",474901.1280573,103656.52986518,NA
"1483","17/01/2017","13:21","Brent Goose (Dark-bellied)","180","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1488","17/01/2017","14:00","Brent Goose (Dark-bellied)","340","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1493","17/01/2017","14:29","Brent Goose (Dark-bellied)","520","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1494","17/01/2017","14:42","Brent Goose (Dark-bellied)","520","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1495","17/01/2017","14:44","Brent Goose (Dark-bellied)","520","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1496","17/01/2017","15:11","Brent Goose (Dark-bellied)","520","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1497","17/01/2017","15:37","Brent Goose (Dark-bellied)","275","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1498","17/01/2017","16:01","Brent Goose (Dark-bellied)","275","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1499","17/01/2017","16:05","Brent Goose (Dark-bellied)","275","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1500","17/01/2017","16:07","Brent Goose (Dark-bellied)","275","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1501","17/01/2017","16:23","Brent Goose (Dark-bellied)","275","C45",476194.98145018,106538.2277507,"C45",476194.98145018,106538.2277507,NA
"1913","12/01/2017","11:15","Brent Goose (Dark-bellied)","100","Chichester Harbour - 20429",NA,NA,"C45",476194.98145018,106538.2277507,NA
"1016","01/02/2017","12:25","Brent Goose (Dark-bellied)","16","Chichester Harbour - 20420",NA,NA,"C4A",483283.63784697,104305.99996605,NA
"1018","01/02/2017","13:51","Brent Goose (Dark-bellied)","1200","C9",478269.79156728,104170.96079996,"C8",478350.82415313,103609.48626983,NA
"1021.5","01/02/2017","15:30","Brent Goose (Dark-bellied)","600","C5B",480120.67944382,105107.88461362,"Chichester Harbour - 20420",NA,NA,NA
"1021.6","01/02/2017","15:30","Brent Goose (Dark-bellied)","400","C5B",480120.67944382,105107.88461362,"Chichester Harbour - 20420",NA,NA,NA
"1019","01/02/2017","13:53","Brent Goose (Dark-bellied)","1200","C8",478350.82415313,103609.48626983,"Chichester Harbour - 20422",NA,NA,NA
"1854","27/01/2017","12:01","Brent Goose (Dark-bellied)","110","H23E",473280.79356766,105162.29695097,"Chichester Harbour - 20429",NA,NA,NA
"","03/03/2017","12:05","Brent Goose (Dark-bellied)","1540","H59D",473472.23323297,103405.76460652,"Chichester Harbour - 20430",NA,NA,NA
"","03/03/2017","13:11","Brent Goose (Dark-bellied)","806","H59D",473472.23323297,103405.76460652,"Chichester Harbour - 20430",NA,NA,NA
"","03/03/2017","13:47","Brent Goose (Dark-bellied)","411","H59D",473472.23323297,103405.76460652,"Chichester Harbour - 20430",NA,NA,NA
"","03/03/2017","14:23","Brent Goose (Dark-bellied)","980","H59D",473472.23323297,103405.76460652,"Chichester Harbour - 20430",NA,NA,NA
"","03/03/2017","15:05","Brent Goose (Dark-bellied)","Uncounted - whole flock","H59D",473472.23323297,103405.76460652,"Chichester Harbour - 20430",NA,NA,NA
"","03/03/2017","13:48","Brent Goose (Dark-bellied)","670","H59E",473563.62089772,103113.01609426,"Chichester Harbour - 20430",NA,NA,NA
"437","17/01/2017","16:25","Brent Goose (Dark-bellied)","95","H67",473588.91726244,98679.78751365,"Chichester Harbour - 20434",NA,NA,NA
"96","09/11/2016","11:45","Brent Goose (Dark-bellied)","1000","H50B",472613.61596,100899.72956706,"Chichester Harbour-  20435",NA,NA,NA
"594","12/01/2017","09:40","Brent Goose (Dark-bellied)","25","F55",452523.38773339,103325.75122796,"F55",452523.38773339,103325.75122796,NA
