"Unique.Code","Easting","Northing","Date","Time","Species","Count"
"NH_JN_211116_MO11",473027.161103136,105236.221612824,"21/12/2016","15:22","DN",70
"NH_JN_211116_MO12",472345.703180774,105341.802130792,"21/12/2016","15:22","RK",12
"NH_JN_211116_MO13",472672.03550094,105389.790969207,"21/12/2016","15:25","DN",17
"NH_JN_211116_MO14",470148.51647097,104094.00639233,"21/12/2016","","CU",9
"NH_JN_211116_MO15",472327.50852231,104166.97179855,"21/12/2016","","RK",19
"NH_JN_190117_MO1",472327.50852231,104166.97179855,"19/01/17","13:10","DN",3
"NH_JN_190117_MO2",472327.50852231,104166.97179855,"19/01/17","14:30","DN",60
"NH_JN_190117_MO3",472327.50852231,104166.97179855,"19/01/17","14:50","DN",60
"NH_JN_190117_MO4",472327.50852231,104166.97179855,"19/01/17","14:50","DN",70
"NH_JN_190117_MO1",471361.56283807,103537.71325255,"19/01/17","10:16","DN",70
"NH_JN_190117_MO2",471865.798233485,104036.475285306,"19/01/17","11:02","RK",1
"NH_JN_190117_MO3",472327.50852231,104166.97179855,"19/01/17","11:15","DN",7
"NH_JN_190117_MO4",472327.50852231,104166.97179855,"19/01/17","11:37","DN",30
"NH_JN_190117_MO5",472327.50852231,104166.97179855,"19/01/17","11:37","DN",52
"NH_JN_190117_MO6",472327.50852231,104166.97179855,"19/01/17","11:37","RK",3
"NH_JN_190117_MO7",471627.28181909,103746.15072104,"19/01/17","12:20","DN",1000
"NH_JN_190117_MO8",471627.28181909,103746.15072104,"19/01/17","12:25","DN",70
"NH_JN_190117_MO9",471627.28181909,103746.15072104,"19/01/17","12:26","DN",100
"NH_JN_190117_MO10",471627.28181909,103746.15072104,"19/01/17","12:16","DN",60
"NH_JN_190117_MO11",471627.28181909,103746.15072104,"19/01/17","12:36","DN",60
"NH_JN_140217_MO1",NA,NA,"14/02/2017","09:36","DB",7
"NH_JN_140217_MO2",471258.15992527,104858.68836398,"14/02/2017","09:57","DB",7
"NH_JN_140217_MO3",471627.28181909,103746.15072104,"14/02/2017","10:27","DB",4
"NH_JN_140217_MO4",471627.28181909,103746.15072104,"14/02/2017","10:33","DB",4
"NH_JN_140217_MO5",471705.034088462,104705.936668173,"14/02/2017","10:40","DB",20
"NH_JN_140217_MO6",471361.56283807,103537.71325255,"14/02/2017","10:40","DB",28
"NH_JN_140217_MO7",472327.50852231,104166.97179855,"14/02/2017","11:30","RK",18
"NH_JN_140217_MO8",471361.56283807,103537.71325255,"14/02/2017","11:59","DB",5
"NH_JN_140217_MO9",471361.56283807,103537.71325255,"14/02/2017","12:06","OC",8
"NH_JN_140217_MO10",471361.56283807,103537.71325255,"14/02/2017","12:13","OC",3
"NH_JN_140217_MO11",471361.56283807,103537.71325255,"14/02/2017","12:13","TT",3
"NH_JN_140217_MO12",471361.56283807,103537.71325255,"14/02/2017","12:30","DB",30
"NH_JN_140217_MO13",471361.56283807,103537.71325255,"14/02/2017","12:31","DN",1000
"NH_JN_140217_MO14",471361.56283807,103537.71325255,"14/02/2017","12:35","DN",400
"NH_JN_140217_MO15",471361.56283807,103537.71325255,"14/02/2017","12:42","DN",350
"16_DS_140217_MO1",468700.88757511,103830.84924908,"14/02/2017","11:10","SU",11
"16_DS_140217_MO2",468279.54646078,103393.89124735,"14/02/2017","11:20","DN",400
"16_DS_140217_MO3",468276.53715399,104155.78272363,"14/02/2017","11:20","DB",135
"16_DS_140217_MO4",468073.945030093,103630.639432992,"14/02/2017","11:24","DN",2500
"16_DS_140217_MO5",468906.178742721,103363.445282914,"14/02/2017","11:25","PT",38
"16_DS_140217_MO6",469508.7888797,103555.7724845,"14/02/2017","11:25","CU",14
"16_DS_140217_MO7",467506.6530882,103011.14040931,"14/02/2017","11:40","DB",200
"16_DS_140217_MO8",468276.53715399,104155.78272363,"14/02/2017","11:40","L.",46
"16_DS_140217_MO9",467925.01901448,103683.202163006,"14/02/2017","11:50","DN",200
"16_DS_140217_MO10",469508.7888797,103555.7724845,"14/02/2017","11:52","DN",1800
"16_DS_140217_MO11",469508.7888797,103555.7724845,"14/02/2017","11:53","DN",400
"16_DS_140217_MO12",469508.7888797,103555.7724845,"14/02/2017","11:53","DN",1300
"16_DS_140217_MO13",469508.7888797,103555.7724845,"14/02/2017","11:55","DN",2000
"16_DS_140217_MO14",469508.7888797,103555.7724845,"14/02/2017","11:57","DN",300
"16_DS_140217_MO15",469508.7888797,103555.7724845,"14/02/2017","12:05","DN",2600
"16_DS_140217_MO16",469508.7888797,103555.7724845,"14/02/2017","12:15","DN",1400
"16_DS_140217_MO17",467792.93977895,104694.73581295,"14/02/2017","12:25","DB",72
"16_DS_140217_MO18",468276.53715399,104155.78272363,"14/02/2017","12:30","AV",46
"16_DS_140317_MO1",468276.53715399,104155.78272363,"14/03/2017","08:50","DB",27
"16_DS_140317_MO2",469166.458030493,103537.009072611,"14/03/2017","09:15","SU",23
"16_DS_140317_MO3",469508.7888797,103555.7724845,"14/03/2017","09:15","SV",12
"16_DS_140317_MO4",468279.54646078,103393.89124735,"14/03/2017","09:50","DN",55
"16_DS_140317_MO5",468831.375273318,103869.904159351,"14/03/2017","09:55","DN",30
"16_DS_140317_MO6",469508.7888797,103555.7724845,"14/03/2017","10:30","CU",4
"16_DS_140317_MO7",468700.88757511,103830.84924908,"14/03/2017","10:43","DB",22
"16_DS_140317_MO8",468700.88757511,103830.84924908,"14/03/2017","10:43","SU",9
"16_DS_140317_MO9",469142.366963082,103519.488429777,"14/03/2017","10:47","WN",300
"16_DS_140317_MO10",469151.127526566,103574.240679691,"14/03/2017","10:47","DB",65
"16_DS_140317_MO11",469508.7888797,103555.7724845,"14/03/2017","10:50","CU",1
"16_DS_270317_MO1",469508.7888797,103555.7724845,"27/03/2017","08:30","MU",8
"16_DS_270317_MO3",469508.7888797,103555.7724845,"27/03/2017","09:35","CU",1
"16_DS_270317_MO4",468276.53715399,104155.78272363,"27/03/2017","09:50","DB",55
"16_DS_270317_MO5",468700.88757511,103830.84924908,"27/03/2017","09:50","DB",12
"16_DS_270317_MO6",469508.7888797,103555.7724845,"27/03/2017","09:50","CU",1
"16_DS_270317_MO7",469508.7888797,103555.7724845,"27/03/2017","10:10","CU",2
"6_DS_211016_MO2",NA,NA,"21/10/2016",NA,"T",1
"6_DS_211016_MO3",NA,NA,"21/10/2016",NA,"DB",20
"6_DS_211016_MO4",NA,NA,"21/10/2016",NA,"DB",130
"6_DS_211016_MO5",NA,NA,"21/10/2016",NA,"DB",10
"6_DS_211016_MO6",NA,NA,"21/10/2016",NA,"BA",9
"6_DS_211016_MO8",NA,NA,"21/10/2016",NA,"DB",165
"6_DS_211016_MO9",NA,NA,"21/10/2016",NA,"H.",2
"6_DS_211016_MO10",NA,NA,"21/10/2016",NA,"TE",1
"6_DS_211016_MO11",NA,NA,"21/10/2016",NA,"GK",1
"6_DS_211016_MO12",NA,NA,"21/10/2016",NA,"DB",18
"6_DS_211016_MO13",473200.950474138,104125.581476988,"21/10/2016",NA,"L",12
"6_DS_211016_MO14",NA,NA,"21/10/2016",NA,"",NA
"6_DS_211016_MO15",NA,NA,"21/10/2016",NA,"",NA
"13_CL_211016_MO1",NA,NA,"21/10/2016",NA,"DB",10
"13_CL_211016_MO2",NA,NA,"21/10/2016",NA,"DB",9
"13_CL_211016_MO3",471683.438709274,104741.929262597,"21/10/2016",NA,"DB",30
"13_CL_211016_MO4",NA,NA,"21/10/2016",NA,"DB",6
"13_CL_211016_MO5",NA,NA,"21/10/2016",NA,"DB",10
"13_CL_211016_MO6",470753.78717115,105416.39866674,"21/10/2016",NA,"DB",12
"13_CL_211016_MO7",471597.056600991,104722.733567119,"21/10/2016",NA,"DB",70
"13_CL_211016_MO8",470848.412926644,104905.098362633,"21/10/2016",NA,"DB",40
"13_CL_211016_MO9",471625.850544298,104703.537454133,"21/10/2016",NA,"DN",120
"13_CL_211016_MO10",470753.78717115,105416.39866674,"21/10/2016",NA,"DB",390
"10_LM_311016_MO3",467897.008936356,100029.322871301,"31/10/2016","13:54","DB",15
"10_LM_311016_MO4",NA,NA,"31/10/2016","14:28","TT",60
"10_LM_311016_MO5",469192.741184793,100490.022383719,"31/10/2016","14:34","DB",2
"10_LM_311016_MO6",NA,NA,"31/10/2016","14:35","TT",60
"10_LM_311016_MO9",470114.150048697,100614.793101264,"31/10/2016","15:20","DB",4
"10_LM_311016_MO10",470363.69843843,100691.576231432,"31/10/2016","15:32","DB",2
"10_LM_311016_MO11",470123.74767042,100509.21501926,"31/10/2016","15:41","DB",7
"10_LM_311016_MO12",470238.923652318,100490.018593366,"31/10/2016","15:45","DB",3
"10_LM_311016_MO13",NA,NA,"31/10/2016","15:47","TE",1
"10_LM_311016_MO14",470296.512025837,100585.998427641,"31/10/2016","15:49","DB",2
"10_LM_311016_MO15",470133.345431258,100442.028954431,"31/10/2016","15:56","DB",12
"10_LM_311016_MO16",NA,NA,"31/10/2016","16:01","DB",31
