"ID","Longitude","Latitude","Time","Habitat","Crop protection","Disturbance","Comments","Recorder","Date"
42334,"50.8036N","1.13629W","15:00","Other","","","2 brent geese on adjacent water","Joel Miller","15/01/2016"
42332,"50.7805N","1.14985W","08:50","Amenity Grassland","","Dog-walker at least one dog off lead","15 brent geese seen flying over.","Joel Miller","22/12/2015"
42331,"50.80357N","1.13581W","08:10","Amenity Grassland","","","c110 brent geese on adjacent water","Joel Miller","22/12/2015"
42327,"50.7808N","1.14955W","09:33","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","08/12/2015"
42326,"50.80371N","1.13573W","08:53","Other","","","25 brent geese on adjacent water","Joel Miller","08/12/2015"
42322,"50.78049N","1.15015W","09:12","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","23/11/2015"
42321,"50.78073N","1.1495W","16:01","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","18/11/2015"
42320,"50.80366N","1.13594W","08:32","","","Dog-walker at least one dog off lead","","Joel Miller","23/11/2015"
42319,"50.79888N","1.13629W","15:41","Playing field","","","","Joel Miller","18/11/2015"
42318,"50.80379N","1.13581W","08:32","Amenity Grassland","","","","Joel Miller","23/11/2016"
42317,"50.8035N","1.13624W",15.21,"Amenity Grassland","","None","","Joel Miller","18/11/2015"
42294,"50.80782N","1.04411W","13:30","Playing field","None","None","","Ed Rowsell","18/11/2016"
42287,"50.83878N","1.0354W","12:00-15:45","Amenity Grassland","","","","Rachel Cook","18/10/2016"
42284,"50.8416N","1.02785W","12:00-15:45","Other","","","","Rachel Cook","18/10/2016"
42283,"50.84285N","1.02396W","12:00-15:45","Permanent pasture","","","","Rachel Cook","18/10/2016"
42282,"50.84149N","1.02027W","12:00-15:45","Saltmarsh","","","","Rachel Cook","18/10/2016"
42281,"50.83764N","1.02311W","12:00-15:45","Permanent pasture","","","","Rachel Cook","18/10/2016"
42279,"50.83515N","1.02517W","12:00-15:45","Ruderal/Scrubby Grassland","","","","Rachel Cook","18/10/2016"
42278,"50.8261N","1.02345W","12:00-15:45","Sand/shingle bank","","","submerged","Rachel Cook","18/10/2016"
42277,"50.82631N","1.03169W","12:00-15:45","Sand/shingle bank","","","submerged","Rachel Cook","18/10/2016"
42274,"50.83816N","1.03667W","10:00-14:00","Amenity Grassland","","","","Rachel Cook","28/10/2016"
42271,"50.84184N","1.0277W","10:00-14:00","Other","","","","Rachel Cook","28/10/2016"
42270,"50.84287N","1.02409W","10:00-14:00","Permanent pasture","","","","Rachel Cook","28/10/2016"
42262,"50.83739N","1.03705W","10:00-14:00","Amenity Grassland","","","","Rachel Cook","01/11/2016"
42259,"50.84108N","1.02973W","10:00-14:00","Other","","","","Rachel Cook","01/11/2016"
42258,"50.84168N","1.0269W","10:00-14:00","Permanent pasture","","","","Rachel Cook","01/11/2016"
42168,50.79692,-1.12832,"10:36","Playing field","None","None","","David Stevenson","09/11/2016"
42164,50.79888,-1.13648,"10:02","Playing field","None","None","","David Stevenson","09/11/2016"
42156,50.79886,-1.13651,"06:40","Playing field","None","None","","David Stevenson","09/11/2016"
42155,50.80393,-1.13309,"06:40","Other","None","None","","David Stevenson","09/11/2016"
42154,50.79678,-1.12807,"06:40","Playing field","None","None","","David Stevenson","09/11/2016"
42108,"50.83756N","1.03685W","12:00","Amenity Grassland","","","","Jenny Watts","01/11/2016"
42107,"50.84059N","1.03231W","12:00","Other","","","Mixed habitat type","Jenny Watts","01/11/2016"
42106,"50.84233N","1.02518W","12:00","Permanent pasture","","","","Jenny Watts","01/11/2016"
42089,"50.8381N","1.03656W","12:00","Amenity Grassland","","","","Jenny Watts","28/10/2016"
42088,"50.84135N","1.02999W","12:00","Other","","","","Jenny Watts","28/10/2016"
42087,"50.84234N","1.02527W","12:00","Permanent pasture","","","","Jenny Watts","28/10/2016"
42071,50.79620,-1.12807,"12:27","Playing field","None","None","","David Stevenson","31/10/2016"
42051,"50.79397N","1.01091W","11:20","Sand/shingle bank","None","Dog-walker at least one dog off lead","High tide roost disturbed three adults one dog off lead occupying roost site 20 minutes. ","Peter May","30/10/2016"
42046,"50.88836N","1.42633W","10:30","Permanent pasture","None","Other","Cows are grazing in the field. ","Tina Teutscher","28/10/2016"
42010,"50.83737N","1.03738W","13:00","Amenity Grassland","","","","Jenny Watts","18/10/2016"
42007,"50.84236N","1.02571W","13:00","Permanent pasture","","","","Jenny Watts","18/10/2016"
42006,"50.841N","1.02047W","13:00","Saltmarsh","","","","Jenny Watts","18/10/2016"
42005,"50.83932N","1.02322W","13:00","Permanent pasture","","","","Jenny Watts","18/10/2016"
42003,"50.83507N","1.02562W","13:00","Other","","","Grassland","Jenny Watts","18/10/2016"
41909,"50.83761N","0.89782W","10:45","Sand/shingle bank","None","Dog-walker at least one dog off lead","Roost was disturbed by a walker with a dog off the lead. Big flush of birds just as I arrived.","Ed Rowsell","17/09/2016"
41899,50.83770,-0.98919,"14:05","","","","","Jenny Watts","15/09/2016"
41818,50.81827,-1.24200,"14:31","Other","None","None","Cottage hide. Titchfield haven.","David Mallard","09/07/2016"
41817,50.81757,-1.24349,"15:40","Sand/shingle bank","None","Walker","Beach full of people","David Mallard","09/07/2016"
41658,"50.83818N","1.03617W","14:45","Amenity Grassland","","","Site Code:P08A/B
Habitat:Amenity Grassland
Robert Bish","Kathryn Ronnie","25/04/2016"
41655,"50.84095N","1.03085W","14:45","Other","","","Site Code:P08C
Habitat:Mixed
Robert Bish","Kathryn Ronnie","25/04/2016"
41654,"50.8423N","1.02519W","14:45","Permanent pasture","","","Site Code:P10M
Habitat:Permanent Pasture
Robert Bish","Kathryn Ronnie","25/04/2016"
41558,"57.85346N","4.54618W","","","","","","core admin","27/04/2016"
41553,"50.83763N","1.03905W","17:30","Playing field","None","None","","Ed Rowsell","13/04/2016"
41550,"50.84067N","1.03192W","17:30","Playing field","None","None","","Ed Rowsell","13/04/2016"
41549,"50.84224N","1.02538W","17:30","Amenity Grassland","None","None","","Ed Rowsell","13/04/2016"
41544,"50.82558N","1.02201W","17:30","Sand/shingle bank","None","None","","Ed Rowsell","13/04/2016"
41437,"50.84063N","1.03217W","16:00","Playing field","None","None","","Ed Rowsell","30/03/2016"
41436,"50.84221N","1.02535W","16:00","Amenity Grassland","None","None","","Ed Rowsell","30/03/2016"
41431,"50.82554N","1.022W","16:00","Sand/shingle bank","None","None","","Ed Rowsell","30/03/2016"
41395,51.47215,-2.11463,"13:57","","","","","Dave Kilbey","30/03/2016"
41380,"50.83785N","1.03888W","11:00","Playing field","None","None","","Ed Rowsell","22/03/2016"
41377,"50.84045N","1.03193W","11:00","Playing field","None","None","","Ed Rowsell","22/03/2016"
41376,"50.84202N","1.02506W","11:00","Permanent pasture","None","None","","Ed Rowsell","22/03/2016"
41375,"50.8417N","1.01991W","11:00","Saltmarsh","None","None","","Ed Rowsell","22/03/2016"
41363,50.82237,-1.04297,"16:55","Playing field","","Sport/amenity","","David Stevenson","28/03/2016"
41360,50.81743,-1.09232,"16:16","Other","","None","Total absence of target species in the channel","David Stevenson","28/03/2016"
41352,50.84589,-1.10421,"15:33","Other","","Other","Lots of activity around washed-up yachts","David Stevenson","28/03/2016"
41347,50.84589,-1.11108,"15:09","Other","","None","Just 2 Herring Gulls. Still strong wind from storm Katie","David Stevenson","28/03/2016"
41346,50.83543,-1.11447,"14:54","Other","","Walker","","David Stevenson","28/03/2016"
41345,50.83695,-1.11224,"14:52","Saltmarsh","","Walker","Busy with activities/people","David Stevenson","28/03/2016"
41342,50.84169,-1.11516,"14:34","Saltmarsh","","Walker","Lots of Bank Holiday activity incl fishing","David Stevenson","28/03/2016"
41340,50.84051,-1.11425,"14:30","Saltmarsh","","Walker","Lots of Bank Holiday walkers/dogs. Also post-storm Katie","David Stevenson","28/03/2016"
41339,50.84592,-1.14133,"14:15","Playing field","","None","","David Stevenson","28/03/2016"
41338,50.84600,-1.14790,"14:12","Arable-bare/ploughed","None","None","","David Stevenson","28/03/2016"
41337,50.84568,-1.14344,"14:11","Ruderal/Scrubby Grassland","None","None","","David Stevenson","28/03/2016"
41335,50.84127,-1.14747,"14:06","Saltmarsh","","Dog-walker at least one dog off lead","","David Stevenson","28/03/2016"
41334,50.84248,-1.15219,"13:59","Playing field","","Sport/amenity","","David Stevenson","28/03/2016"
