UniqueID,VP_Location ,Date,SurveyTime,Weather,Observer,Sheet,RecordID,Time,FieldID_Origin,Oknown,Landuse_Croptype,Sward_height,Species,Count,Disturb.Source_Code,No.Disturbers,Disturb.Response_Code,Other_movemt_activity,Destination_code,Dknown,Direction,Comments 
31,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO17,12:02,P91-92,,,,DB,76,,,,,,,,
32,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO18,12:27,F78,,,,CU,65,,,,,,,,
33,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO19,12:28,F78,,,,GG,2,,,,,,,,Channels to South and East of F78
34,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO20,12:28,F78,,,,RM,1,,,,,,,,
35,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO21,12:03,F78,,,,OC,75,,,,,,,,
36,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO22,12:32,P93,,,,BW,7,,,,,,,,
37,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO23,12:36,East of P98/P64,,,,BW,34,,,,,,,,
38,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO24,12:38,South of P94/P68,,,,BW,246,,,,,,,,Feeding at North end of harbour 
39,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO24,12:38,South of P94/P68,,,,BDB,259,,,,,,,,Feeding at North end of harbour 
40,17 (Roving),09/11/2016,0940-1245,,Richard Levett,1,CO24,12:38,South of P68,,,,CU,10,,,,,,,,
41,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO1,06:45,,,,,SU,2,,,,,,,,Roosting on water in front of H70
42,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO1,06:45,,,,,DB,108,,,,,,,,Roosting on water in front of H70
43,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO1,06:45,,,,,WN,38,,,,,,,,Roosting on water in front of H70
44,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO1,06:45,,,,,MA,40,,,,,,,,Roosting on water in front of H70
45,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,MO1,06:45,,No,,,GG,7,,,,,,No,,Roosting on water in front of H70
46,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,MO2,07:01,H70,Yes,,,DB,4,,,,,H28A,Yes,,Flew from H70 to VP
47,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,MO3,07:15,Oysterbeds?,No,,,DB,50,,,,,H70,Yes,,"A gradual movement of geese from East (poss oyster beds) to top of H70, towards NE edge then gradually to area East of MO4"
48,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,MO4,07:02,Oysterbeds?,No,,,DB,23,,,,,H70,Yes,,"A gradual movement of geese from East (poss oyster beds) to top of H70, towards NE edge then gradually to area East of MO4"
49,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO2,07:03,,,,,WN,221,,,,,,,,
50,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO2,07:03,,,,,DB,342,,,,,,,,
51,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,MO5,07:35,,No,,,DB,20,,,,,,No,,"50 birds feeding in shallow water just BVP, number gradually increasing."
52,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,MO6,07:35,,No,,,RK,57,,,,,,No,,
53,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,DB,588,,,,,,,,
54,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,CU,2,,,,,,,,
55,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,DN,5,,,,,,,,
56,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,OC,20,,,,,,,,
57,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,RK,7,,,,,,,,
58,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,GV,6,,,,,,,,
59,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,GG,12,,,,,,,,
60,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,RM,9,,,,,,,,
61,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,T,4,,,,,,,,
62,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,,,,,GN,2,,,,,,,,
63,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,H90,,,,CO,20,,,,,,,,
64,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,H90,,,,SV,18,,,,,,,,
65,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO3,08:15,H90,,,,ET,2,,,,,,,,
66,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO4,09:15,,,,,DB,587,BD,1,F,,,,,Broadway to Southmoor 
67,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO4,09:15,,,,,CU,27,,,,,,,,
68,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO4,09:15,,,,,RK,46,,,,,,,,
69,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO5,10:15,,,,,GV,17,,,,,,,,
70,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO5,10:15,,,,,TT,29,,,,,,,,
71,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO5,10:15,,,,,DN,2,,,,,,,,
72,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO5,10:15,,,,,OC,58,,,,,,,,
73,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO5,10:15,,,,,GG,14,,,,,,,,
74,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO5,10:15,,,,,RP,1,,,,,,,,
75,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO5,10:15,,,,,CU,12,,,,,,,,
76,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO5,10:15,,,,,MS,5,,,,,,,,
77,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO6,10:00,H90,,,,T,133,,,,,,,,
78,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO6,10:00,,,,,SV,9,,,,,,,,
79,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,CO6,10:00,,,,,CO,15,,,,,,,,
80,13,09/11/2016,0636-1030,,T Codlin - D Noble,1,MO7,10:03,,No,,,DB,26,,,,,,No,,
81,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO1,07:06,,,,,DB,6,,,,,,,,To W of 6 in Bay. C.100 DB in Southmash towards H91
82,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO1,07:06,,,,,T,15,,,,,,,,To W of 6 in Bay. C.100 DB in Southmash towards H91
83,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO1,07:06,,,,,SU,63,,,,,,,,To W of 6 in Bay. C.100 DB in Southmash towards H91
84,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,MO1,07:16,,No,,,DB,9,,,,,H60P,Yes,,SW over H59A to H60P
84.1,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,MO1,07:16,,No,,,CG,7,,,,,H94,Yes,,"Also CG7 landed just inland of seawall, H94"
85,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO2,08:06,Mill Rithe Channel,,,,DB,400,,,,,,,,
86,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO3,08:36,H60P,,,,DB,30,,,,,,,,
87,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,MO2,08:52,Mill Rithe Channel,Yes,,,DB,10,,,,,H50B,Yes,,
88,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO4,08:06,H50B,,,,DB,1000,DL,,W,,,,,85+ Juveniles
89,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO5,10:36,Low tide ,,,,DB,6,,,,,,,,
90,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO5,10:36,Low tide ,,,,SU,1,,,,,,,,
91,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO5,10:36,Low tide ,,,,T,1,,,,,,,,
92,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO6,10:36,H94,,,,DB,100,,,,,,,,Field not accesible but lots of geese incl. odd groups flying in/out
93,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO7,11:06,H94A,,,,DB,400,,,,,,,,Viewed from Northney farm CP
94,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,CO8,11:36,H60G,,,,DB,41,,,,,,,,
95,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,MO3,11:45,,No,,,DB,1000,,,,,,No,,
96,6 and 7,09/11/2016,0600-1245,,A. Johnson,1,MO3,11:45,H50B,Yes,,,DB,1000,BP,,,,Mill Rithe Channel,Yes,,"Unknown reason, sparrowhawk went through shortly after. Returning from 11.50 still jumpy half up 12.06"
97,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO1,06:04,G47,,,,DB,0,,,,,,,,No birds St. Vincent
98,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO2,06:44,G38,,,,DB,0,,,,,,,,No birds Forton Creek
99,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO3,06:05,G03,,,,DB,0,,,,,,,,No birds Arden Park 
100,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO4,06:55,G54,,,,CG,10,,,,,,,,Walpole roosting
101,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO5,06:55,G54,,,,MS,2,,,,,,,,Walpole roosting
102,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO6,06:55,G54,,,,BH,28,,,,,,,,Walpole roosting
103,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO7,06:55,G54,,,,HG,7,,,,,,,,Walpole roosting
104,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO8,07:15,G01,,,,BH,154,,,,,,,,F
105,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO9,07:15,G01,,,,CM,3,,,,,,,,F
106,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO10,07:02,G31,,,,CG,5,,,,,,,,F
107,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO11,07:02,G31,,,,BDB,4,,,,,,,,F
108,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO12,07:02,G31,,,,GB,4,,,,,,,,F
109,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO13,07:02,G50,,,,MA,14,,,,,,,,F
110,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO14,07:35,G23,,,,BH,120,,,,,,,,F
111,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO15,07:35,G23,,,,CM,3,,,,,,,,F
112,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO16,07:35,G53,,,,CM,17,,,,,,,,F
113,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO17,07:35,G53,,,,BH,100,,,,,,,,F
114,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO18,07:35,G53,,,,HG,25,,,,,,,,F
115,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO19,07:55,G15,,,,HG,9,,,,,,,,R
116,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO20,07:55,G15,,,,GB,19,,,,,,,,R
117,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO21,07:55,G15,,,,DB,13,,,,,,,,F
118,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO22,07:55,G15,,,,BH,24,,,,,,,,R/F
119,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO23,08:06,G02,,,,MA,4,,,,,,,,HMS Sultan F&R
120,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO24,08:06,G02,,,,BH,58,,,,,,,,HMS Sultan F&R
121,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO25,08:06,G02,,,,GB,5,,,,,,,,HMS Sultan F&R
122,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO26,08:06,G02,,,,CM,4,,,,,,,,HMS Sultan F&R
123,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO27,08:06,G10,,,,BH,80,,,,,,,,Mainly F
124,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO28,08:06,G10,,,,CM,5,,,,,,,,Mainly F
125,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO29,08:06,G10,,,,HG,7,,,,,,,,Mainly F
126,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO30,08:06,G10,,,,GB,32,,,,,,,,Mainly F
127,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO31,08:36,G44,,,,HG,4,,,,,,,,R
128,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO32,08:36,G44,,,,BH,51,,,,,,,,R
129,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO33,09:06,P70,,,,WN,8,,,,,,,,Feeding off Monkswalk/Quayland
130,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO34,09:06,P70,,,,SU,2,,,,,,,,Feeding off Monkswalk/Quayland
131,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO35,09:06,P70,,,,TT,34,,,,,,,,Feeding off Monkswalk/Quayland
132,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO36,09:06,P70,,,,BH,7,,,,,,,,Feeding off Monkswalk/Quayland
133,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO37,09:06,P70,,,,BW,61,,,,,,,,Feeding off Monkswalk/Quayland
134,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO38,09:06,P70,,,,RK,28,,,,,,,,Feeding off Monkswalk/Quayland
135,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO39,09:06,P70,,,,OC,9,,,,,,,,Feeding off Monkswalk/Quayland
136,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO40,09:06,P70,,,,DN,160,,,,,,,,Feeding off Monkswalk/Quayland
137,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO41,09:06,P70,,,,DB,38,,,,,,,,Feeding off Monkswalk/Quayland
138,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO42,09:06,P70,,,,CU,5,,,,,,,,
139,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO43,09:06,G40,,,,DB,300,,,,,,,,Mudbank towards middle of harbour S from Quaylane
140,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO44,09:06,G40,,,,DN,800,,,,,,,,Mudbank towards middle of harbour S from Quaylane
141,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO45,09:36,G40,,,,DB,170,,,,,,,,Feeding along Hardway. Explosion! 
142,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO46,09:36,G40,,,,RK,7,,,,,,,,Feeding along Hardway. Explosion! 
143,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO47,09:36,G40,,,,CU,1,,,,,,,,Feeding along Hardway. Explosion! 
144,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO48,09:36,G40,,,,BH,18,,,,,,,,Feeding along Hardway. Explosion! 
145,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO49,09:36,G40,,,,DN,30,,,,,,,,Feeding along Hardway. Explosion! 
146,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO50,09:36,G40,,,,BW,32,,,,,,,,Feeding along Hardway. Explosion! 
147,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO51,09:36,G51,,,,DB,90,,,,,,,,Feeding on shingle bank. Burrow Island 
148,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO52,09:36,G51,,,,DB,6,,,,,,,,In Forton Lake
149,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO53,09:36,G51,,,,GB,3,,,,,,,,In Forton Lake
150,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO54,09:36,G51,,,,HG,2,,,,,,,,In Forton Lake
151,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO55,09:36,G51,,,,BH,14,,,,,,,,In Forton Lake
152,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO56,09:36,G51,,,,RK,35,,,,,,,,Inside Forton creek
153,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO57,09:36,G51,,,,BH,16,,,,,,,,Inside Forton creek
154,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO58,09:36,G51,,,,HG,4,,,,,,,,Inside Forton creek
155,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO59,09:36,G51,,,,ET,1,,,,,,,,Inside Forton creek
156,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO60,10:06,G47,,,,DB,0,,,,,,,,No Birds
157,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO61,10:06,G43,,,,HG,12,,,,,,,,R
158,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO62,10:06,G43,,,,CM,1,,,,,,,,F
159,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO63,10:06,G43,,,,RK,3,,,,,,,,F
160,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO64,10:06,G43,,,,T,7,,,,,,,,F
161,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO65,10:06,G43,,,,DB,9,,,,,,,,F
162,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO66,10:06,G43,,,,OC,3,,,,,,,,F
163,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO67,10:06,G43,,,,HG,3,,,,,,,,F
164,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO68,10:06,G43,,,,BH,8,,,,,,,,F
165,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO69,10:06,G20,,,,BH,38,,,,,,,,R on Mud
166,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO70,10:36,G03,,,,DB,0,,,,,,,,No Birds
167,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO71,10:36,G54,,,,MS,32,,,,,,,,3F & 2R Walpole Park
168,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO72,10:36,G54,,,,CG,4,,,,,,,,F
169,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO73,10:36,G45,,,,BH,43,,,,,,,,R on Mud Hasler Creek
170,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO74,10:36,G45,,,,GB,2,,,,,,,,R
171,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO75,10:36,G45,,,,HG,14,,,,,,,,R
172,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO76,10:36,G45,,,,CA,1,,,,,,,,R
173,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO77,10:36,G45,,,,DB,2,,,,,,,,F
174,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO78,10:36,G46,,,,BH,27,,,,,,,,R
175,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO79,10:36,G46,,,,CM,11,,,,,,,,R
176,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO80,10:36,G46,,,,MA,2,,,,,,,,F
177,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO81,10:36,G46,,,,HG,26,,,,,,,,F
178,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO82,10:36,G46,,,,RK,4,,,,,,,,F
179,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO83,10:36,G46,,,,BH,6,,,,,,,,F
180,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO84,10:36,G46,,,,BH,65,,,,,,,,R
181,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO85,10:36,G46,,,,MS,2,,,,,,,,F
182,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO86,10:36,G46,,,,MA,16,,,,,,,,R
183,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO87,10:36,G46,,,,DB,2,,,,,,,,R
184,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO88,10:36,G42,,,,BH,17,,,,,,,,R
185,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO89,10:36,G42,,,,HG,3,,,,,,,,R
186,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO90,10:36,G42,,,,BH,57,,,,,,,,R on the water
187,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO91,10:36,G42,,,,RM,2,,,,,,,,R on the water
188,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO92,10:36,G42,,,,CM,1,,,,,,,,F
189,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO93,11:06,G50,,,,DB,120,DX,,,,Unknown origin since this AM ,,,R on the Gilkicher Lake
190,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO94,11:06,G50,,,,MA,12,,,,,,,,R on the Gilkicher Lake
191,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO95,11:06,G31,,,,CG,5,,,,,,,,F
192,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO96,11:06,G31,,,,HG,43,,,,,,,,R
193,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO96,11:06,G31,,,,GB,12,,,,,,,,R
194,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO97,11:06,G01,,,,DB,0,,,,,,,,NO Birds
195,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,MO1,11:18,West towards G15/G02,No,,,DB,2,,,,,,No,,R
196,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO98,11:03,G37,,,,GB,29,,,,,,,,R
197,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO99,11:03,G37,,,,HG,45,,,,,,,,R
198,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO100,11:03,G37,,,,DB,2,,,,,,,,F
199,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO101,11:03,G37,,,,BH,30,,,,,,,,F
200,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO102,11:36,G15,,,,BH,38,,,,,,,,F
201,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO103,11:36,G15,,,,GB,3,,,,,,,,R
202,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO104,11:36,G15,,,,HG,1,,,,,,,,R
203,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO105,11:04,G02,,,,DB,250,,,,,,,,F unknown origin since 8.06
204,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO106,12:06,G02,,,,DB,250,,,,,,,,F no new arrivals
205,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,MO02,12:13,Stokes bay direction,No,,,DB,17,,,,,G02,Yes,,Arrived from direction of Stokes bay 
206,18 and 19,09/11/2016,0636-1236,,David Stevenson,1,CO107,12:06,G02,,,,GB,7,,,,,,,,R
